id,name,catg,year
2844,FantÃ´mas - Ã€ l'ombre de la guillotine ,Crime|Drama,1913
4936,The Bank ,Comedy|Short,1915
4972,The Birth of a Nation ,Drama|History|Romance|War,1915
5078,The Cheat ,Drama,1915
6684,The Fireman ,Short|Comedy,1916
6689,The Floorwalker ,Short|Comedy,1916
7264,The Rink ,Comedy|Short,1916
7880,Easy Street ,Short|Comedy,1917
8133,The Immigrant ,Short|Comedy|Drama|Romance,1917
9018,A Dog's Life ,Short|Comedy,1918
9968,Broken Blossoms or The Yellow Man and the Girl ,Drama|Romance,1919
11267,Headin' Home ,Biography|Comedy|Drama|Sport,1920
11508,Neighbors ,Short|Comedy|Romance,1920
11541,One Week ,Short|Comedy,1920
11607,PrÃ¤stÃ¤nkan ,Comedy|Drama|Horror,1920
11717,The Son of Tarzan ,Action|Adventure,1920
12349,The Kid ,Comedy|Drama|Family,1921
12364,KÃ¶rkarlen ,Drama|Fantasy|Horror,1921
12651,SchloÃŸ Vogeloed ,Crime|Drama|Horror|Mystery,1921
13025,Cops ,Short|Comedy|Family,1922
13086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit ",Crime|Mystery|Thriller,1922
13427,Nanook of the North ,Documentary,1922
13442,"Nosferatu, eine Symphonie des Grauens ",Horror,1922
14142,The Hunchback of Notre Dame ,Drama|Romance,1923
14341,Our Hospitality ,Comedy|Family,1923
14429,Safety Last! ,Comedy|Romance|Thriller,1923
14538,Three Ages ,Comedy,1923
14872,Entr'acte ,Short,1924
15002,Hot Water ,Comedy,1924
15064,Der letzte Mann ,Drama,1924
15163,The Navigator ,Action|Comedy,1924
15324,Sherlock Jr. ,Comedy|Fantasy,1924
15361,Stachka ,Drama,1925
15400,The Thief of Bagdad ,Adventure|Family|Fantasy|Romance,1924
15624,The Big Parade ,Drama|Romance|War,1925
15648,Bronenosets Potyomkin ,Drama|History,1925
15864,The Gold Rush ,Adventure|Comedy|Family|Romance|Western,1925
15881,Greed ,Drama,1924
16332,Seven Chances ,Comedy|Family|Romance,1925
16847,Faust - Eine deutsche Volkssage ,Drama|Fantasy|Horror,1926
17075,The Lodger: A Story of the London Fog ,Crime|Drama|Mystery|Thriller,1927
17136,Metropolis ,Drama|Sci-Fi,1927
17196,Nana ,Drama|Romance,1926
17925,The General ,Action|Adventure|Comedy|Romance|War,1926
18217,Oktyabr ,Drama|History,1928
18455,Sunrise: A Song of Two Humans ,Drama|Romance,1927
18578,Wings ,Drama|Romance|War|Action,1927
18742,The Cameraman ,Comedy|Romance|Family|Drama,1928
18773,The Circus ,Comedy|Romance,1928
18806,The Crowd ,Drama|Romance,1928
19130,The Man Who Laughs ,Drama|Horror|Mystery|Romance|Thriller,1928
19254,La passion de Jeanne d'Arc ,Biography|Drama|History,1928
19421,"Steamboat Bill, Jr. ",Action|Comedy|Drama|Family|Romance,1928
19729,The Broadway Melody ,Musical|Romance,1929
19760,Chelovek s kino-apparatom ,Documentary,1929
19901,Frau im Mond ,Comedy|Drama|Romance|Sci-Fi,1929
20530,Un chien andalou ,Short|Fantasy,1929
20581,Where East Is East ,Drama,1929
20629,All Quiet on the Western Front ,Drama|War,1930
20686,The Big House ,Drama|Thriller,1930
20693,Billy the Kid ,Biography|Drama|Romance|Western,1930
20768,City Girl ,Drama|Romance,1930
20902,Free and Easy ,Comedy|Musical,1930
20980,Hogaraka ni ayume ,Romance|Crime|Drama,1930
21079,Little Caesar ,Crime|Drama,1931
21156,Morocco ,Romance|Drama,1930
21283,Rakudai wa shitakeredo ,,1930
21406,Sono yo no tsuma ,Drama,1930
21577,L'Ã¢ge d'or ,Comedy|Drama,1930
21746,Cimarron ,Drama|Western,1931
21749,City Lights ,Comedy|Drama|Romance,1931
21814,Dracula ,Horror,1931
21884,Frankenstein ,Horror|Sci-Fi,1931
22100,M ,Crime|Drama|Film-Noir|Thriller,1931
22279,Private Lives ,Comedy|Drama,1931
22458,Tabu: A Story of the South Seas ,Drama|Romance|Adventure,1931
22792,The Crowd Roars ,Drama|Action,1932
22834,Downstairs ,Drama,1932
22913,Freaks ,Drama|Horror|Thriller,1932
22958,Grand Hotel ,Drama|Romance,1932
23158,Love Me Tonight ,Comedy|Musical|Romance,1932
23194,The Mask of Fu Manchu ,Adventure|Horror|Sci-Fi,1932
23238,The Most Dangerous Game ,Adventure|Mystery|Thriller,1932
23249,Murders in the Rue Morgue ,Crime|Horror|Mystery,1932
23251,The Music Box ,Comedy|Short,1932
23266,Night After Night ,Drama,1932
23305,One Way Passage ,Drama|Romance,1932
23349,Polly of the Circus ,Comedy|Drama,1932
23427,Scarface ,Crime|Drama|Thriller,1932
23563,Das Testament des Dr. Mabuse ,Crime|Fantasy|Horror,1933
23634,Otona no miru ehon - Umarete wa mita keredo ,Comedy|Drama,1932
23642,Union Depot ,Comedy|Drama|Romance,1932
23649,Vampyr ,Horror,1932
23685,The Wet Parade ,Drama|History|Romance,1932
23694,White Zombie ,Horror,1932
23817,Blondie Johnson ,Crime|Drama,1933
23876,Cavalcade ,Drama|Romance|War,1933
23902,El compadre Mendoza ,Drama|War,1934
23937,Dekigokoro ,Drama,1933
23969,Duck Soup ,Comedy|Musical,1933
24092,Havana Widows ,Comedy,1933
24166,I'm No Angel ,Comedy|Musical|Romance,1933
24184,The Invisible Man ,Drama|Horror|Sci-Fi|Thriller,1933
24188,Island of Lost Souls ,Adventure|Horror|Romance|Sci-Fi,1932
24216,King Kong ,Adventure|Fantasy|Horror,1933
24353,Morning Glory ,Drama|Romance,1933
